,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
CHUBUT,,,247,--,,,--,SI,,SI,,,26056010,"-43,2341165952859",
CHUBUT,Languiñeo,,317,--,--,,--,SI,--,SI,,--,26056020,"-43,5856885437306",
ENTRE RIOS,,,0,--,--,,--,--,--,,--,SI,30008100,,"-58,3417058444451"
CABA,,MONTE CASTRO,33623,SI,,SI,SI,SI,,,SI,SI,,,"-58,5065803391285"
CORDOBA,Río Cuarto,Coronel Moldes,,SI,--,--,,--,--,SI,,SI,14098100,"-33,6230868735031",
,Río Cuarto,Elena,2985,,--,--,SI,,SI,SI,,,14098110,"-32,5720684109952",
CORDOBA,,La Carolina,165,SI,,--,--,SI,,SI,SI,--,,"-33,1868433713045","-64,7251129655857"
CORDOBA,,,969,--,,,--,--,,,--,SI,,,"-64,0842989461185"
CORDOBA,Río Cuarto,La Gilda,,--,--,--,,--,--,--,--,,14098140,"-33,2082959166527","-64,2584448995097"
,Río Cuarto,Las Acequias,,,--,--,,,--,SI,,,14098150,"-33,2822486969948",
CABA,COMUNA 13,,126831,SI,SI,,SI,SI,SI,SI,SI,SI,,"-34,5548815240237","-58,4502890947349"
CHUBUT,,,262,--,,,--,SI,,,--,--,,,"-69,9302181856069"
