,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
BUENOS AIRES,,Villa Roch,--,--,,--,SI,SI,,,--
BUENOS AIRES,Tornquist,,--,--,--,,--,--,SI,--,--
BUENOS AIRES,,,SI,--,,,SI,SI,,--,
BUENOS AIRES,Tornquist,Sierra de la Ventana,,SI,--,SI,,SI,SI,--,--
,Ñorquincó,Río Chico (Est. Cerro Mesa),,,--,--,,,SI,,SI
,Pichi Mahuida,Barrio Esperanza,--,,--,SI,--,,--,--,
BUENOS AIRES,Cañuelas,Alejandro Petión,,SI,SI,--,,,SI,SI,--
BUENOS AIRES,,Barrio Belgrano-Máximo Paz,--,--,,--,SI,SI,,,--
BUENOS AIRES,,,--,--,,,SI,--,--,SI,--
,Cañuelas,Cañuelas,,,SI,SI,,,SI,SI,
,Cañuelas,Gobernador Udaondo,--,,--,--,SI,,--,SI,
BUENOS AIRES,,,--,SI,,,--,--,,,--
BUENOS AIRES,Cañuelas,,--,--,--,,SI,SI,--,,SI
,Cañuelas,Uribelarrea,,,--,SI,,,SI,SI,--
BUENOS AIRES,Cañuelas,Vicente Casares,,--,SI,--,,SI,SI,SI,
,Capitán Sarmiento,Capitán Sarmiento,,,--,SI,,SI,SI,,--
,Capitán Sarmiento,La Luisa,--,,--,--,--,,--,,--
BUENOS AIRES,Carlos Casares,,--,--,SI,,--,--,,--,
BUENOS AIRES,,Villa Juan Martín De Pueyrredon,--,SI,,SI,SI,SI,,--,
,General San Martín,Villa Libertad,--,,--,SI,SI,,--,--,--
,General San Martín,Villa Lynch,,,--,SI,,,SI,,--
BUENOS AIRES,General San Martín,Villa Maipu,,SI,--,SI,,SI,SI,SI,
,General San Martín,Villa Marqués Alejandro María De Aguado,--,,--,SI,,,--,--,
BUENOS AIRES,General San Martín,,--,SI,--,,SI,SI,--,,--
BUENOS AIRES,,Villa Parque San Lorenzo,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,,Villa San Andrés,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,--,SI,,,SI,SI,,--,--
,General Viamonte,Baigorrita,SI,,--,--,SI,,SI,,--
,General Viamonte,La Delfina,,,--,--,,,--,,--
BUENOS AIRES,Moreno,,SI,SI,SI,,SI,SI,SI,SI,SI
BUENOS AIRES,,Moreno,SI,SI,,SI,SI,SI,,SI,
,Moreno,Paso Del Rey,--,,--,SI,SI,,SI,SI,SI
BUENOS AIRES,Moreno,Trujui,,SI,SI,SI,,SI,SI,,--
BUENOS AIRES,,Castelar,SI,SI,,,SI,SI,,SI,--
BUENOS AIRES,Morón,,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,SI
BUENOS AIRES,,Tres Picos,--,--,,--,SI,--,,--,--
,Tornquist,Villa Serrana La Gruta,,,--,--,,,--,--,
,Tornquist,Villa Ventana,SI,,--,--,SI,,SI,--,--
BUENOS AIRES,,30 de Agosto,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,--,--,--,,SI,SI,SI,,--
BUENOS AIRES,,Girodias,SI,--,,--,--,--,,SI,
BUENOS AIRES,,,--,--,,,--,--,,SI,--
,Trenque Lauquen,Trenque Lauquen,SI,,SI,SI,SI,,SI,,SI
,Trenque Lauquen,Trongé,,,--,--,,,--,SI,--
BUENOS AIRES,Tres Arroyos,Balneario Orense,,--,--,--,,SI,--,--,--
,San Antonio,Los Alisos,SI,,--,--,--,,--,--,
CABA,COMUNA 01,,SI,SI,SI,,SI,SI,SI,SI,SI
CORDOBA,,,--,--,,--,SI,SI,,,--
,Calamuchita,Las Bajadas,,,--,--,,,--,SI,
CORDOBA,Calamuchita,Las Caleras,,--,--,--,,--,SI,SI,--
CORDOBA,,,SI,--,,,SI,SI,,,SI
