,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
BUENOS AIRES,,20 De Junio,SI,SI,,--,SI,SI,,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
,Puán,Estela,--,,--,--,SI,,--,--,
,Puán,Felipe Solá,,,--,--,,,SI,--,
BUENOS AIRES,Puán,López Lecube,,--,--,--,,--,--,,--
,Pehuajó,Francisco Madero,,,SI,--,,,SI,SI,--
BUENOS AIRES,Pehuajó,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,Juan José Paso,--,--,,SI,SI,SI,,SI,
,Pehuajó,Magdala,,,--,--,,,SI,SI,--
BUENOS AIRES,Pehuajó,Mones Cazón,,--,--,--,,SI,SI,,--
,Pehuajó,Nueva Plata,--,,--,--,--,,SI,SI,
,Pehuajó,Pehuajó,,,SI,SI,,,SI,SI,
BUENOS AIRES,,San Bernardo (Est. Guanaco),--,--,,--,--,--,,,--
BUENOS AIRES,,,--,--,,,--,--,,SI,--
BUENOS AIRES,Pellegrini,,--,--,--,,SI,--,--,--,
BUENOS AIRES,,De Bary,--,--,,--,--,--,,--,
BUENOS AIRES,Pellegrini,Pellegrini,,SI,SI,--,,SI,SI,,SI
,Pergamino,Acevedo,,,--,--,,,SI,,--
BUENOS AIRES,,,SI,--,,,--,--,,SI,
BUENOS AIRES,Pergamino,,--,SI,--,,SI,SI,--,SI,--
,La Matanza,Ciudad Evita,,,SI,SI,,,SI,,--
,La Matanza,Gonzalez Catán,SI,,SI,SI,SI,,SI,SI,SI
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,,Isidro Casanova,SI,SI,,SI,SI,SI,,SI,--
BUENOS AIRES,,,SI,SI,,SI,SI,SI,,SI,--
BUENOS AIRES,La Matanza,,SI,SI,SI,,SI,SI,SI,,--
,Pergamino,Juan A. de la Peña,--,,--,--,--,,--,SI,--
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),,--,--,SI,,SI,SI,SI,
BUENOS AIRES,Pergamino,,SI,--,--,,SI,SI,SI,,--
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,,Mariano Benítez,--,--,,--,--,--,,--,
BUENOS AIRES,,,--,--,--,,SI,SI,--,--,SI
,Pergamino,Pergamino,SI,,SI,SI,SI,,SI,,SI
BUENOS AIRES,Pergamino,Pinzón,,--,--,--,,--,--,SI,--
BUENOS AIRES,Pergamino,Rancagua,,--,--,SI,,--,SI,--,SI
,Pergamino,Villa Angélica (Est. El Socorro),,,--,--,,,--,--,
BUENOS AIRES,Pergamino,,--,--,--,,--,--,SI,--,--
BUENOS AIRES,,,--,--,,,--,SI,,,--
,Pila,Pila,--,,SI,SI,SI,,SI,SI,
BUENOS AIRES,Tres De Febrero,Villa Raffo,,SI,--,SI,,SI,SI,--,
BUENOS AIRES,Tres Lomas,,--,--,--,,--,--,SI,,--
BUENOS AIRES,,Tres Lomas,SI,SI,,SI,SI,SI,,,--
,Vicente López,Carapachay,,SI,--,SI,,SI,SI,--,
,Vicente López,Florida,SI,,--,SI,SI,,SI,SI,
,Vicente López,Florida Oeste,,,--,SI,,,SI,SI,SI
BUENOS AIRES,Vicente López,La Lucila,,SI,--,SI,,SI,SI,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,Vicente López,,SI,SI,SI,,SI,SI,SI,--,
BUENOS AIRES,Vicente López,Vicente López,,SI,SI,SI,,SI,SI,,--
,Vicente López,Villa Adelina,--,,--,SI,,,--,--,--
BUENOS AIRES,Vicente López,Villa Martelli,,SI,--,SI,,SI,SI,SI,SI
,Villa Gesell,Mar Azul,,,--,--,,,SI,--,
BUENOS AIRES,Villa Gesell,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
BUENOS AIRES,,Argerich,--,--,,--,--,--,,SI,
BUENOS AIRES,Villarino,,--,--,--,,--,--,,--,
,Villarino,Country Los Medanos,--,,--,--,--,,--,,--
BUENOS AIRES,Villarino,Hilario Ascasubi,,,--,--,,SI,SI,--,--
BUENOS AIRES,,,--,--,,,SI,SI,,SI,--
BUENOS AIRES,,Mayor Buratovich,SI,--,,SI,SI,SI,,--,
,Villarino,Médanos,,,SI,--,,,SI,SI,--
BUENOS AIRES,Villarino,Pedro Luro,,SI,--,SI,,SI,SI,,--
BUENOS AIRES,,,--,--,,,SI,--,,SI,--
BUENOS AIRES,Zárate,,--,--,--,,SI,SI,--,--,
BUENOS AIRES,,,--,--,,,SI,SI,--,,--
BUENOS AIRES,,Escalada,--,--,,--,--,--,,--,--
BUENOS AIRES,Zárate,Lima,,--,--,SI,,,SI,--,
,Lavalle,Las Violetas,--,,--,--,--,,--,--,--
MENDOZA,,Villa Tulumaya,--,--,,SI,SI,SI,,SI,--
CABA,,,SI,SI,,,SI,SI,,,SI
CORDOBA,Marcos Juárez,,SI,--,--,,SI,SI,--,SI,SI
CORDOBA,,,SI,--,,,SI,SI,,SI,
CORDOBA,Marcos Juárez,Isla Verde,,SI,--,SI,,SI,SI,--,--
,Marcos Juárez,Leones,,,--,SI,,,SI,,--
,Pocho,Taninga,--,,--,--,--,,--,SI,
CORDOBA,Pocho,Villa de Pocho,,--,--,--,,,SI,SI,--
BUENOS AIRES,,Rafael Castillo,SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,La Matanza,,SI,SI,,,SI,SI,SI,SI,SI
,La Matanza,San Justo,,,SI,SI,,,SI,SI,
,La Matanza,Tapiales,SI,,SI,SI,SI,,SI,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,,SI
,Libertador Grl. San Martín,Las Lagunas,,,--,--,,,--,SI,--
SAN LUIS,Libertador Grl. San Martín,Los Comederos,,--,--,--,,--,--,--,
SAN LUIS,Libertador Grl. San Martín,Mesilla Del Cura,,,--,--,,--,--,,--
,Zárate,Zárate,SI,,--,SI,SI,,SI,,SI
CABA,COMUNA 01,,SI,SI,SI,,SI,SI,,SI,
CORDOBA,,Los Surgentes,SI,--,,SI,SI,SI,,--,
,Marcos Juárez,Marcos Juárez,SI,,--,SI,SI,,SI,SI,--
,Ensenada,Dique Nº 1,,,--,--,,,--,,--
BUENOS AIRES,Ensenada,Ensenada,,SI,SI,SI,,SI,SI,SI,
,Ensenada,Isla Santiago (Oeste),,,--,--,,,--,--,
BUENOS AIRES,Ensenada,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,Villa Catela,--,--,,--,SI,SI,,,--
BUENOS AIRES,,Belen de Escobar,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,--,SI,,,SI,SI,,--,--
,Escobar,Garín,SI,,--,SI,SI,,SI,,SI
,El Alto,Vilismán,,,--,--,,,--,,--
BUENOS AIRES,Esteban Echeverría,,--,SI,--,,SI,SI,,SI,SI
BUENOS AIRES,,Luis Guillón,SI,SI,,SI,SI,SI,,SI,
,Esteban Echeverría,Monte Grande,SI,,SI,SI,SI,,SI,SI,SI
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,,--,--,--,,--,SI,,--
BUENOS AIRES,,Arroyo de la Cruz,--,--,,,SI,SI,,SI,--
BUENOS AIRES,Exaltación de la Cruz,,SI,--,SI,,SI,SI,SI,--,
BUENOS AIRES,,,--,--,,,--,--,,,--
BUENOS AIRES,,El Remanso,SI,--,,--,SI,SI,,SI,--
,Exaltación de la Cruz,Los Cardales,,,SI,--,,,SI,--,
,La Matanza,Villa Luzuriaga,SI,,SI,SI,SI,,SI,SI,--
BUENOS AIRES,,Virrey Del Pino,SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,SI,SI,--,,SI,SI,SI,,--
BUENOS AIRES,,,--,SI,,,SI,SI,,SI,
BUENOS AIRES,La Plata,,--,--,--,,--,--,--,SI,--
,La Plata,Arturo Segui,--,,--,--,SI,,SI,,--
BUENOS AIRES,La Plata,Barrio El Carmen Oeste,,--,--,--,,--,--,SI,--
,La Plata,Barrio El Peligro,,,--,--,,,SI,--,--
,La Plata,Barrio Gambier,--,,--,--,SI,,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,--,--
BUENOS AIRES,,Barrio Las Quintas,--,--,,--,SI,--,,,--
,La Plata,Lomas de Copello,--,,--,--,--,,--,--,
BUENOS AIRES,La Plata,City Bell,,SI,--,SI,,,SI,SI,
BUENOS AIRES,La Plata,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,El Retiro,--,--,,SI,SI,SI,,,--
BUENOS AIRES,La Plata,Esquina Negra,,--,--,--,,SI,--,--,
,La Plata,Ignacio Correas,,,--,--,--,,--,SI,--
,La Plata,Joaquin Gorina,--,,--,SI,SI,,SI,,--
,La Plata,Jose Hernandez,,,--,SI,,,--,,--
BUENOS AIRES,,Jose Melchor Romero,--,SI,,--,SI,SI,,--,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
,La Plata,La Plata,,,SI,SI,,SI,SI,,SI
,La Plata,La Providencia,--,,--,--,--,,--,--,--
,La Plata,Lisandro Olmos,,,--,--,,,--,--,
BUENOS AIRES,La Plata,Los Hornos,,SI,--,SI,,SI,--,SI,
BUENOS AIRES,,,--,SI,,,SI,SI,,,--
BUENOS AIRES,La Plata,,--,--,--,,--,--,--,,--
BUENOS AIRES,La Plata,,--,SI,--,,SI,SI,SI,--,--
BUENOS AIRES,,Rufino De Elizalde,--,--,,--,SI,SI,,--,
,La Plata,ruta del sol,,--,--,--,,SI,--,,--
,La Plata,ruta del sol,SI,,--,--,SI,,--,,--
BUENOS AIRES,,Tolosa,--,SI,,SI,SI,SI,,--,
BUENOS AIRES,,,--,--,,,SI,SI,,--,SI
BUENOS AIRES,La Plata,Villa Elisa,,SI,--,SI,,SI,SI,,--
,La Plata,Villa Elvira,,,--,SI,,,--,SI,--
BUENOS AIRES,La Plata,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,--
BUENOS AIRES,,Pilar,SI,SI,,SI,SI,SI,,SI,SI
BUENOS AIRES,,,SI,SI,--,,SI,SI,SI,,--
,Pilar,Roberto De Vicenzo,--,,--,--,SI,,--,--,--
BUENOS AIRES,Pilar,Santa Teresa,,--,--,--,,SI,--,--,
BUENOS AIRES,,,--,--,,,SI,SI,,,SI
BUENOS AIRES,,Villa Astolfi,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,SI,SI,--
BUENOS AIRES,,Zelaya,SI,SI,,--,SI,SI,,SI,
BUENOS AIRES,Pinamar,Carilo,,SI,--,--,,,--,--,--
,Pinamar,Ostende,--,,--,--,SI,,--,,--
,Pinamar,Pinamar,,,--,SI,,,SI,--,
BUENOS AIRES,Pinamar,Valeria Del Mar,,SI,--,--,,SI,--,--,--
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,Presidente Perón,,SI,SI,SI,,SI,SI,SI,SI,--
BUENOS AIRES,Puán,17 de Agosto,,--,--,--,,--,SI,--,--
,Puán,Azopardo,--,,--,--,--,,--,--,
BUENOS AIRES,,Bordenave,--,--,,SI,--,--,,SI,SI
BUENOS AIRES,Puán,,SI,SI,SI,,SI,SI,,,--
,Puán,Puán,--,,--,SI,SI,,SI,SI,
,Puán,San Germán,,,--,--,,--,SI,SI,
BUENOS AIRES,Puán,Villa Castelar (Est. Erize),,--,--,--,,--,SI,,--
,Puán,Villa Iris,,,--,SI,,,SI,,--
BUENOS AIRES,Punta Indio,,--,--,--,,--,--,--,--,
BUENOS AIRES,,,--,--,,,--,--,,--,--
,Punta Indio,Pipinas,,,--,--,,,SI,--,--
BUENOS AIRES,Punta Indio,Punta Indio,,--,--,--,,--,SI,,--
,Punta Indio,Verónica,,,--,SI,,,SI,--,
BUENOS AIRES,Quilmes,Bernal,,SI,SI,SI,,SI,SI,--,SI
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
CATAMARCA,Fray Mamerto Esquiú,,--,--,--,,--,--,--,--,SI
CATAMARCA,Fray Mamerto Esquiú,,--,--,--,,--,--,,SI,--
BUENOS AIRES,,Carlos María Naón,--,--,,--,SI,SI,,--,
,9 de Julio,Dudignac,,--,SI,--,,SI,SI,SI,--
,9 de Julio,La Aurora (Est. La Niña),--,,--,--,SI,,--,,--
BUENOS AIRES,,Manuel B. Gonnet (Est. French),SI,--,,SI,SI,SI,,--,
BUENOS AIRES,,,--,--,,,SI,--,,--,
BUENOS AIRES,9 de Julio,Morea,,--,--,--,,--,--,,--
,9 de Julio,Norumbega,,,--,--,,,SI,,--
BUENOS AIRES,9 de Julio,,SI,--,--,,--,SI,SI,--,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
BUENOS AIRES,,Carhué,SI,--,,SI,SI,SI,,SI,--
BUENOS AIRES,,,--,--,,,SI,--,SI,,--
,Adolfo Alsina,Delfín Huergo,--,,--,--,--,,--,--,
BUENOS AIRES,Adolfo Alsina,Espartillar,,--,--,--,,--,--,--,
BUENOS AIRES,,,--,--,,,--,--,,,--
BUENOS AIRES,,La Pala,--,--,,--,--,--,,--,--
BUENOS AIRES,,,--,--,,SI,SI,SI,,SI,
BUENOS AIRES,Escobar,,SI,SI,--,,SI,SI,SI,SI,
,Escobar,Loma Verde,--,,--,SI,SI,,--,,--
BUENOS AIRES,Escobar,Maquinista F. Savio (este),,SI,--,SI,,SI,SI,SI,--
,Escobar,Matheu,,,--,SI,,,SI,SI,
,Escobar,Puerto Paraná,--,,--,--,SI,,--,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
BUENOS AIRES,,Canning,SI,SI,,SI,SI,SI,,,--
,Fray Mamerto Esquiú,Collagasta,--,,--,--,--,,--,--,
CATAMARCA,Fray Mamerto Esquiú,El Hueco,,--,--,SI,,,--,--,--
BUENOS AIRES,Adolfo Alsina,,--,--,--,,SI,--,SI,,--
BUENOS AIRES,,Thames,--,--,,--,--,--,,--,--
BUENOS AIRES,Adolfo Alsina,Villa Margarita,,--,--,--,,--,--,--,
,Adolfo Alsina,Yutuyaco,,,--,--,--,,--,--,--
,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),SI,,SI,SI,SI,,SI,SI,--
,Adolfo Gonzales Chaves,De la Garma,,,--,SI,,,SI,,--
BUENOS AIRES,,Juan E. Barra,--,--,,--,--,--,,SI,--
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
BUENOS AIRES,Alberti,Alberti (Est. Andrés Vaccarezza),,,SI,SI,,SI,SI,,--
,Alberti,Coronel Seguí,--,,--,--,--,,--,,--
BUENOS AIRES,Alberti,Mechita,,--,--,--,,SI,--,--,--
,Alberti,Pla,--,,--,--,,,SI,--,
BUENOS AIRES,Alberti,,--,--,--,,SI,SI,--,--,--
BUENOS AIRES,,Villa María,--,--,,--,--,--,,,--
BUENOS AIRES,,Villa Ortiz (Est. Coronel Mom),--,--,,--,SI,SI,,--,
MISIONES,,,--,--,,,--,--,,--,--
,Apóstoles,San José,SI,,--,SI,SI,,SI,,--
,Almirante Brown,Adrogué,,,SI,SI,,,SI,SI,SI
BUENOS AIRES,Almirante Brown,,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,,Claypole,SI,SI,,SI,SI,SI,,SI,
,Almirante Brown,Don Orione,--,,--,--,SI,,--,,--
BUENOS AIRES,Almirante Brown,Glew,,SI,SI,SI,,SI,SI,,--
BUENOS AIRES,,Jose Mármol,--,SI,,,SI,SI,,SI,
CATAMARCA,Fray Mamerto Esquiú,,--,--,--,,--,SI,--,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
BUENOS AIRES,,Malvinas Argentinas,SI,SI,,SI,SI,SI,,SI,--
,Almirante Brown,Ministro Rivadavia,,,SI,SI,,,SI,SI,
,Almirante Brown,Rafael Calzada,SI,,SI,SI,SI,,SI,SI,
BUENOS AIRES,,San Francisco Solano,SI,SI,,SI,SI,SI,,SI,--
BUENOS AIRES,,,SI,SI,SI,,SI,SI,SI,,SI
MISIONES,Apóstoles,,--,--,--,,--,--,--,--,
MISIONES,,,--,--,,,SI,--,,--,
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,,--,--,--,,--,--,SI,SI
,Exaltación de la Cruz,Parada Robles - Pavón,,,--,SI,,,SI,,--
,Ezeiza,Aeropuerto Internacional Ezeiza,SI,,SI,SI,SI,,SI,--,
BUENOS AIRES,Ezeiza,Canning,,SI,SI,SI,,,SI,SI,
BUENOS AIRES,,Carlos Spegazzini,SI,SI,,SI,SI,SI,,,SI
BUENOS AIRES,Ezeiza,,SI,SI,,,SI,SI,SI,,SI
,Ezeiza,La Unión,,,--,SI,,,SI,--,SI
,Eldorado,Nueva Delicia,--,,--,--,--,,--,--,
MISIONES,,,--,--,,,--,--,,--,--
BUENOS AIRES,Ezeiza,,SI,SI,SI,,SI,SI,SI,,--
,Florencio Varela,Bosques,,,SI,SI,,,SI,SI,--
BUENOS AIRES,Florencio Varela,El Tropezon,,--,--,--,,SI,--,--,
,Florencio Varela,Estanislao Severo Zeballos,,,SI,SI,,SI,SI,,--
,Florencio Varela,Florencio Varela,SI,,SI,SI,SI,,SI,SI,SI
BUENOS AIRES,Florencio Varela,,SI,SI,SI,,SI,SI,,--,
BUENOS AIRES,,Ingeniero Juan Allan,SI,SI,,SI,SI,SI,,--,--
,Florencio Varela,La Capilla,--,,--,SI,SI,,SI,,--
,La Plata,Villa Parque Sicardi,,,--,--,,,--,,--
,Lanús,Gerli,SI,,SI,SI,SI,,SI,--,
,Lanús,Lanús Este,,SI,SI,SI,,SI,SI,SI,SI
BUENOS AIRES,,Lanús Oeste,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,Lanús,,SI,SI,SI,,SI,SI,SI,--,--
BUENOS AIRES,Lanús,,SI,SI,SI,,SI,SI,SI,SI,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,Laprida,Laprida,,SI,--,SI,,SI,SI,--,--
,Laprida,Pueblo Nuevo,,,--,--,,,--,,--
BUENOS AIRES,,Pueblo San Jorge,--,--,,--,--,--,,SI,
BUENOS AIRES,Las Flores,,--,--,--,,--,--,--,SI,
BUENOS AIRES,Las Flores,El Trigo,,--,--,SI,,--,--,,--
,Las Flores,Las Flores,SI,,--,SI,SI,,SI,SI,--
BUENOS AIRES,,,--,--,--,,SI,SI,--,SI,
BUENOS AIRES,,Alberdi Viejo,SI,--,,--,SI,SI,,SI,
BUENOS AIRES,,,--,--,,,--,--,,,SI
BUENOS AIRES,Leandro N. Alem,,--,--,--,,--,--,--,,--
,Leandro N. Alem,Juan Bautista Alberdi (Est. Alberdi),,,--,SI,,,SI,SI,--
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,,SI,--,--,,SI,--,SI,
BUENOS AIRES,Leandro N. Alem,,SI,--,--,,SI,SI,SI,,SI
CATAMARCA,,Pomancillo Este,--,--,,,--,--,,--,--
BUENOS AIRES,,Villa La Florida,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,--,--,,,--,--,SI,--,
,Ramallo,Las Bahamas,--,,--,--,SI,,--,,--
BUENOS AIRES,Ramallo,Pérez Millán,,--,--,SI,,,SI,,--
BUENOS AIRES,Ramallo,Ramallo,,SI,--,SI,,SI,SI,SI,SI
,Ramallo,Villa General Savio (Est. Sánchez),,,--,--,,,--,--,
BUENOS AIRES,Ramallo,,SI,SI,--,,SI,SI,SI,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,,SI
,Rivadavia,América,SI,,--,SI,SI,,SI,SI,
BUENOS AIRES,Rivadavia,Fortín Olavarría,,--,--,SI,,SI,--,--,--
BUENOS AIRES,Rivadavia,,--,--,--,,SI,SI,,,--
BUENOS AIRES,,Mira Pampa,--,--,,--,--,--,,--,--
,Rivadavia,Roosevelt,,,--,--,,--,SI,--,
,Rivadavia,San Mauricio,--,,--,--,--,,--,--,--
,Rivadavia,Sansinena,,,--,SI,,,SI,SI,--
BUENOS AIRES,Rivadavia,Sundblad,,--,--,--,,--,--,,--
BUENOS AIRES,,,--,--,,,--,--,,--,--
BUENOS AIRES,Rojas,,--,--,--,,--,--,--,--,
BUENOS AIRES,Rojas,Las Carabelas,,--,--,SI,,--,SI,,SI
,Rojas,Los Indios,,,--,--,,,--,,--
,Rojas,Rafael Obligado,--,,--,--,SI,,--,SI,
,Rojas,Roberto Cano,,,--,--,,,--,--,--
BUENOS AIRES,,Rojas,SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,--,--,,,--,--,,--,--
BUENOS AIRES,Rojas,,--,--,--,,--,--,--,--,--
BUENOS AIRES,,Villa Parque Cecir,--,--,,--,--,--,,--,
BUENOS AIRES,Roque Pérez,Carlos Beguerie,,--,--,--,,--,SI,SI,--
,Fray Mamerto Esquiú,Pomancillo Oeste,,,--,--,--,,--,,--
CATAMARCA,,,--,--,,,SI,SI,,--,
BUENOS AIRES,Arrecifes,,SI,SI,SI,,SI,SI,SI,SI,
,Arrecifes,Todd,,,--,SI,,,SI,,--
,Arrecifes,Viña,SI,,--,--,SI,,--,,--
BUENOS AIRES,,,--,--,,,SI,SI,,--,
BUENOS AIRES,,Avellaneda,SI,SI,,SI,SI,SI,,SI,SI
BUENOS AIRES,,,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,Avellaneda,,SI,SI,--,,SI,SI,SI,,--
,Avellaneda,Gerli,--,,--,SI,SI,,SI,--,
BUENOS AIRES,Florencio Varela,Villa Brown,,SI,--,SI,,SI,--,--,
BUENOS AIRES,Florencio Varela,,--,SI,--,,SI,SI,--,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,
BUENOS AIRES,,Blaquier,--,--,,--,SI,SI,,SI,
,Florentino Ameghino,Florentino Ameghino,,,--,SI,,,SI,,--
,Florentino Ameghino,Porvenir,--,,--,--,--,,--,,--
,General Alvarado,Centinela del Mar,--,,--,--,--,,--,SI,
BUENOS AIRES,General Alvarado,Comandante Nicanor Otamendi,,--,SI,SI,,SI,SI,SI,SI
BUENOS AIRES,,Mar del Sur,--,--,,,SI,SI,,,--
BUENOS AIRES,General Alvarado,,SI,--,--,,SI,SI,SI,,--
CATAMARCA,Paclín,La Viña,,--,--,--,,--,--,SI,--
,Paclín,Las Lajas,,,--,--,,,--,--,
CATAMARCA,,Monte Potrero,--,--,,--,SI,SI,,--,--
BUENOS AIRES,,,--,--,,,SI,SI,,,--
,Lincoln,Bayauca,--,,--,--,SI,,SI,SI,--
,Lincoln,Bermúdez,,,--,--,,,--,--,
BUENOS AIRES,Lincoln,Carlos Salas,,--,--,--,,--,--,,--
,Lincoln,Coronel Martínez de Hoz (Ap. Kilómetro 322),SI,,--,--,,,SI,--,--
BUENOS AIRES,Lincoln,,--,--,SI,,SI,SI,SI,--,
BUENOS AIRES,,Las Toscas,SI,--,,--,--,--,,--,--
,Lincoln,Lincoln,,,SI,SI,,,SI,,--
BUENOS AIRES,Lincoln,Pasteur,,--,--,--,,SI,SI,,SI
,Lincoln,Roberts,,,SI,SI,,SI,SI,--,--
,Lincoln,Triunvirato,--,,--,--,--,,--,--,
BUENOS AIRES,Lobería,,--,--,--,,SI,SI,,SI,--
BUENOS AIRES,,Licenciado Matienzo,--,--,,--,--,--,,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,SI,
BUENOS AIRES,Lobería,,--,--,--,,SI,--,SI,SI,--
,Roque Pérez,Roque Pérez,,,SI,SI,,,SI,,--
BUENOS AIRES,Saavedra,Arroyo Corto,,--,--,SI,,--,SI,--,--
BUENOS AIRES,Saavedra,,--,--,--,,--,--,--,--,
BUENOS AIRES,,Dufaur,--,--,,--,--,--,,--,
,Saavedra,Espartillar,--,,--,SI,SI,,SI,,--
BUENOS AIRES,Saavedra,Goyena,,--,--,SI,,,--,,--
BUENOS AIRES,,Las Encadenadas,--,--,,--,--,--,,--,--
BUENOS AIRES,,,--,--,,,SI,SI,SI,--,
BUENOS AIRES,Saavedra,,--,--,--,,SI,SI,SI,,--
BUENOS AIRES,,,--,--,,,--,SI,,,SI
BUENOS AIRES,Saladillo,Blaquier,,--,--,--,,--,--,--,
,Saladillo,Cazón,,,--,SI,,,SI,--,
BUENOS AIRES,,,--,--,,,SI,--,,SI,--
BUENOS AIRES,Saladillo,,--,--,--,,--,--,--,,--
MISIONES,,,--,--,,,--,--,,--,
MISIONES,Eldorado,,--,--,--,,SI,--,--,--,--
,COMUNA 03,SAN CRISTOBAL,,,SI,SI,,,SI,,SI
CATAMARCA,Tinogasta,Fiambalá,,--,--,SI,,SI,SI,,SI
CATAMARCA,Tinogasta,La Puntilla,,--,--,--,,--,--,--,
,Tinogasta,La Ramadita,--,,--,--,--,,--,--,
CATAMARCA,,,--,--,--,,--,--,--,--,--
CATAMARCA,,Medanitos,--,--,,--,SI,--,,,--
,Tinogasta,Palo Blanco,--,,--,--,--,,--,--,
,Tinogasta,Pampa Blanca,,,--,--,,,--,--,--
CATAMARCA,Tinogasta,,--,--,--,,--,--,--,,--
CATAMARCA,,,--,--,,,--,--,,--,--
CATAMARCA,Tinogasta,Tatón,,--,--,--,,--,--,--,
,COMUNA 09,LINIERS,,,SI,SI,,,SI,SI,SI
,Punilla,Capilla del Monte,SI,,--,--,SI,,SI,SI,--
,Punilla,Casa Grande,,--,--,--,,--,--,,--
CORDOBA,,Charbonier,--,--,,--,--,--,,SI,--
CORDOBA,Punilla,,SI,SI,--,,SI,SI,SI,SI,
,Punilla,Cuesta Blanca,,,--,--,,,--,,--
,Punilla,Estancia Vieja,--,,--,--,SI,,--,,--
,Punilla,Huerta Grande,--,,--,SI,SI,,SI,SI,--
CABA,COMUNA 12,COGHLAN,,SI,SI,SI,,,SI,SI,
CORDOBA,,Despeñaderos,SI,--,,SI,SI,SI,,SI,--
CORDOBA,,,--,--,,,--,--,--,,--
CORDOBA,Santa María,,--,--,--,,SI,SI,--,--,
CORDOBA,,,--,--,,,SI,SI,,--,--
CORDOBA,Santa María,Falda del Carmen,,--,--,--,,--,SI,,--
,Santa María,José de la Quintana,,,--,--,,,--,--,--
CORDOBA,,,--,--,,,--,--,,--,
CORDOBA,Santa María,,--,--,--,,SI,--,--,--,
,Santa María,La Cumbrecita,,,--,--,,--,SI,SI,--
,Santa María,La Donosa,--,,--,--,--,,--,,--
CABA,COMUNA 15,,SI,SI,SI,,SI,SI,,SI,
CATAMARCA,,Chuchucaruana,--,--,,--,--,--,,--,
CATAMARCA,,,--,--,,,--,--,,,--
CATAMARCA,Ambato,,--,--,--,,SI,--,--,,SI
,Ambato,El Rodeo,,,--,--,,,SI,SI,
CATAMARCA,Ambato,Huaycama,,--,--,--,,--,--,--,--
CATAMARCA,Ambato,,--,--,--,,SI,--,SI,--,SI
CATAMARCA,,Las Chacritas,--,--,,--,--,--,,,SI
CATAMARCA,,Las Juntas,--,--,,--,SI,--,,--,--
CATAMARCA,,,--,--,,,--,--,,--,
,Ambato,Los Talas,--,,--,--,--,,--,,--
,Saladas,Saladas,,,--,--,,,SI,,SI
CORRIENTES,Saladas,San Lorenzo,,--,--,SI,,SI,SI,SI,
,San Cosme,Ingenio Primer Correntino,--,,--,--,,,--,--,
CORRIENTES,San Cosme,,--,--,--,,SI,SI,SI,,SI
CORRIENTES,,San Cosme,SI,--,,--,SI,SI,,SI,SI
,San Cosme,Santa Ana,,,--,--,,,SI,SI,--
CORRIENTES,San Luis del Palmar,San Luis del Palmar,,--,--,--,,SI,SI,--,
CORRIENTES,,,--,--,,,SI,--,,--,--
CORRIENTES,,Guaviraví,--,--,,--,SI,--,,,--
,San Martín,La Cruz,,,--,--,,,SI,--,SI
